
Parameter				Value
Filter Type:			RC-low-pass Filter
Input Voltage(Vin)		1.0000 V
Output Voltage(Vout)	0.0665 V
Resistance(R)			20.0000 Ω
Capacitance(C)			1.000000000000 F
Frequency(f)			0.1195 Hz
Cutoff Frequency(fc)	0.0080 Hz
Gain(dB)				-23.5410 dB
Phase Shift(°)			-86.1859 °

|     Freq(Hz) |      Vout(V) |     Gain(dB) |    Phase(°) |
|       0.0124 |       0.5397 |      -5.3575 |     -57.3391 |
|       0.0126 |       0.5348 |      -5.4362 |     -57.6698 |
|       0.0127 |       0.5300 |      -5.5145 |     -57.9946 |
|       0.0129 |       0.5253 |      -5.5924 |     -58.3136 |
|       0.0131 |       0.5206 |      -5.6698 |     -58.6270 |
|       0.0132 |       0.5160 |      -5.7468 |     -58.9348 |
|       0.0134 |       0.5115 |      -5.8234 |     -59.2373 |
|       0.0135 |       0.5070 |      -5.8995 |     -59.5344 |
|       0.0137 |       0.5026 |      -5.9752 |     -59.8265 |
|       0.0138 |       0.4983 |      -6.0505 |     -60.1135 |
|       0.0140 |       0.4940 |      -6.1253 |     -60.3955 |
|       0.0142 |       0.4898 |      -6.1997 |     -60.6728 |
|       0.0143 |       0.4856 |      -6.2737 |     -60.9454 |
|       0.0145 |       0.4815 |      -6.3472 |     -61.2134 |
|       0.0146 |       0.4775 |      -6.4203 |     -61.4769 |
|       0.0148 |       0.4735 |      -6.4930 |     -61.7360 |
|       0.0150 |       0.4696 |      -6.5652 |     -61.9908 |
|       0.0151 |       0.4657 |      -6.6370 |     -62.2414 |
|       0.0153 |       0.4619 |      -6.7084 |     -62.4880 |
|       0.0154 |       0.4582 |      -6.7793 |     -62.7305 |
|       0.0156 |       0.4545 |      -6.8499 |     -62.9691 |
|       0.0158 |       0.4508 |      -6.9200 |     -63.2039 |
|       0.0159 |       0.4472 |      -6.9897 |     -63.4349 |
|       0.0161 |       0.4437 |      -7.0590 |     -63.6623 |
|       0.0162 |       0.4402 |      -7.1278 |     -63.8861 |
|       0.0164 |       0.4367 |      -7.1963 |     -64.1063 |
|       0.0166 |       0.4333 |      -7.2643 |     -64.3232 |
|       0.0167 |       0.4299 |      -7.3320 |     -64.5366 |
|       0.0169 |       0.4266 |      -7.3992 |     -64.7468 |
|       0.0170 |       0.4233 |      -7.4660 |     -64.9538 |
|       0.0172 |       0.4201 |      -7.5325 |     -65.1576 |
|       0.0173 |       0.4169 |      -7.5985 |     -65.3583 |
|       0.0175 |       0.4138 |      -7.6641 |     -65.5560 |
|       0.0177 |       0.4107 |      -7.7294 |     -65.7508 |
|       0.0178 |       0.4077 |      -7.7942 |     -65.9426 |
|       0.0180 |       0.4046 |      -7.8587 |     -66.1317 |
|       0.0181 |       0.4017 |      -7.9228 |     -66.3179 |
|       0.0183 |       0.3987 |      -7.9865 |     -66.5014 |
|       0.0185 |       0.3958 |      -8.0498 |     -66.6823 |
|       0.0186 |       0.3930 |      -8.1128 |     -66.8605 |
|       0.0188 |       0.3901 |      -8.1754 |     -67.0362 |
|       0.0189 |       0.3874 |      -8.2376 |     -67.2094 |
|       0.0191 |       0.3846 |      -8.2995 |     -67.3801 |
|       0.0193 |       0.3819 |      -8.3610 |     -67.5485 |
|       0.0194 |       0.3792 |      -8.4221 |     -67.7144 |
|       0.0196 |       0.3766 |      -8.4829 |     -67.8781 |
|       0.0197 |       0.3740 |      -8.5433 |     -68.0394 |
|       0.0199 |       0.3714 |      -8.6034 |     -68.1986 |
|       0.0201 |       0.3688 |      -8.6631 |     -68.3556 |
|       0.0202 |       0.3663 |      -8.7225 |     -68.5104 |
|       0.0204 |       0.3639 |      -8.7815 |     -68.6631 |
|       0.0205 |       0.3614 |      -8.8402 |     -68.8138 |
|       0.0207 |       0.3590 |      -8.8986 |     -68.9625 |
|       0.0208 |       0.3566 |      -8.9567 |     -69.1092 |
|       0.0210 |       0.3542 |      -9.0144 |     -69.2539 |
|       0.0212 |       0.3519 |      -9.0718 |     -69.3968 |
|       0.0213 |       0.3496 |      -9.1288 |     -69.5377 |
|       0.0215 |       0.3473 |      -9.1855 |     -69.6769 |
|       0.0216 |       0.3451 |      -9.2420 |     -69.8142 |
|       0.0218 |       0.3428 |      -9.2981 |     -69.9498 |
|       0.0220 |       0.3406 |      -9.3539 |     -70.0836 |
|       0.0221 |       0.3385 |      -9.4094 |     -70.2157 |
|       0.0223 |       0.3363 |      -9.4645 |     -70.3462 |
|       0.0224 |       0.3342 |      -9.5194 |     -70.4750 |
|       0.0226 |       0.3321 |      -9.5740 |     -70.6022 |
|       0.0228 |       0.3301 |      -9.6282 |     -70.7278 |
|       0.0229 |       0.3280 |      -9.6822 |     -70.8519 |
|       0.0231 |       0.3260 |      -9.7359 |     -70.9744 |
|       0.0232 |       0.3240 |      -9.7893 |     -71.0954 |
|       0.0234 |       0.3220 |      -9.8424 |     -71.2150 |
|       0.0236 |       0.3201 |      -9.8952 |     -71.3331 |
|       0.0237 |       0.3181 |      -9.9478 |     -71.4498 |
|       0.0239 |       0.3162 |     -10.0000 |     -71.5651 |
|       0.0240 |       0.3143 |     -10.0520 |     -71.6790 |
|       0.0242 |       0.3125 |     -10.1037 |     -71.7915 |
|       0.0244 |       0.3106 |     -10.1551 |     -71.9028 |
|       0.0245 |       0.3088 |     -10.2063 |     -72.0127 |
|       0.0247 |       0.3070 |     -10.2572 |     -72.1213 |
|       0.0248 |       0.3052 |     -10.3078 |     -72.2287 |
|       0.0250 |       0.3035 |     -10.3581 |     -72.3348 |
|       0.0251 |       0.3017 |     -10.4082 |     -72.4397 |
|       0.0253 |       0.3000 |     -10.4581 |     -72.5435 |
|       0.0255 |       0.2983 |     -10.5077 |     -72.6460 |
|       0.0256 |       0.2966 |     -10.5570 |     -72.7474 |
|       0.0258 |       0.2949 |     -10.6061 |     -72.8476 |
|       0.0259 |       0.2933 |     -10.6549 |     -72.9467 |
|       0.0261 |       0.2916 |     -10.7035 |     -73.0447 |
|       0.0263 |       0.2900 |     -10.7518 |     -73.1416 |
|       0.0264 |       0.2884 |     -10.7999 |     -73.2375 |
|       0.0266 |       0.2868 |     -10.8478 |     -73.3323 |
|       0.0267 |       0.2853 |     -10.8954 |     -73.4260 |
|       0.0269 |       0.2837 |     -10.9428 |     -73.5187 |
|       0.0271 |       0.2822 |     -10.9899 |     -73.6105 |
|       0.0272 |       0.2806 |     -11.0368 |     -73.7012 |
|       0.0274 |       0.2791 |     -11.0835 |     -73.7910 |
|       0.0275 |       0.2777 |     -11.1299 |     -73.8798 |
|       0.0277 |       0.2762 |     -11.1762 |     -73.9677 |
|       0.0279 |       0.2747 |     -11.2222 |     -74.0546 |
|       0.0280 |       0.2733 |     -11.2679 |     -74.1407 |
|       0.0282 |       0.2718 |     -11.3135 |     -74.2258 |
|       0.0283 |       0.2704 |     -11.3588 |     -74.3100 |
|       0.0285 |       0.2690 |     -11.4040 |     -74.3934 |
|       0.0286 |       0.2676 |     -11.4489 |     -74.4759 |
|       0.0288 |       0.2663 |     -11.4936 |     -74.5576 |
|       0.0290 |       0.2649 |     -11.5380 |     -74.6384 |
|       0.0291 |       0.2636 |     -11.5823 |     -74.7184 |
|       0.0293 |       0.2622 |     -11.6264 |     -74.7976 |
|       0.0294 |       0.2609 |     -11.6702 |     -74.8760 |
|       0.0296 |       0.2596 |     -11.7139 |     -74.9536 |
|       0.0298 |       0.2583 |     -11.7573 |     -75.0305 |
|       0.0299 |       0.2570 |     -11.8006 |     -75.1066 |
|       0.0301 |       0.2558 |     -11.8436 |     -75.1819 |
|       0.0302 |       0.2545 |     -11.8865 |     -75.2565 |
|       0.0304 |       0.2532 |     -11.9291 |     -75.3303 |
|       0.0306 |       0.2520 |     -11.9716 |     -75.4034 |
|       0.0307 |       0.2508 |     -12.0139 |     -75.4759 |
|       0.0309 |       0.2496 |     -12.0560 |     -75.5476 |
|       0.0310 |       0.2484 |     -12.0978 |     -75.6186 |
|       0.0312 |       0.2472 |     -12.1395 |     -75.6890 |
|       0.0314 |       0.2460 |     -12.1811 |     -75.7587 |
|       0.0315 |       0.2448 |     -12.2224 |     -75.8277 |
|       0.0317 |       0.2437 |     -12.2635 |     -75.8960 |
|       0.0318 |       0.2425 |     -12.3045 |     -75.9638 |
|       0.0320 |       0.2414 |     -12.3453 |     -76.0309 |
|       0.0321 |       0.2403 |     -12.3859 |     -76.0973 |
|       0.0323 |       0.2392 |     -12.4263 |     -76.1632 |
|       0.0325 |       0.2381 |     -12.4666 |     -76.2284 |
|       0.0326 |       0.2370 |     -12.5067 |     -76.2931 |
|       0.0328 |       0.2359 |     -12.5466 |     -76.3571 |
|       0.0329 |       0.2348 |     -12.5863 |     -76.4206 |
|       0.0331 |       0.2337 |     -12.6259 |     -76.4835 |
|       0.0333 |       0.2327 |     -12.6652 |     -76.5458 |
|       0.0334 |       0.2316 |     -12.7045 |     -76.6075 |
|       0.0336 |       0.2306 |     -12.7435 |     -76.6687 |
|       0.0337 |       0.2296 |     -12.7824 |     -76.7294 |
|       0.0339 |       0.2285 |     -12.8212 |     -76.7895 |
|       0.0341 |       0.2275 |     -12.8597 |     -76.8491 |
|       0.0342 |       0.2265 |     -12.8981 |     -76.9081 |
|       0.0344 |       0.2255 |     -12.9364 |     -76.9667 |
|       0.0345 |       0.2245 |     -12.9745 |     -77.0247 |
|       0.0347 |       0.2236 |     -13.0124 |     -77.0822 |
|       0.0349 |       0.2226 |     -13.0502 |     -77.1392 |
|       0.0350 |       0.2216 |     -13.0878 |     -77.1958 |
|       0.0352 |       0.2207 |     -13.1253 |     -77.2518 |
|       0.0353 |       0.2197 |     -13.1626 |     -77.3074 |
|       0.0355 |       0.2188 |     -13.1997 |     -77.3624 |
|       0.0357 |       0.2179 |     -13.2367 |     -77.4171 |
|       0.0358 |       0.2169 |     -13.2736 |     -77.4712 |
|       0.0360 |       0.2160 |     -13.3103 |     -77.5249 |
|       0.0361 |       0.2151 |     -13.3469 |     -77.5782 |
|       0.0363 |       0.2142 |     -13.3833 |     -77.6310 |
|       0.0364 |       0.2133 |     -13.4196 |     -77.6833 |
|       0.0366 |       0.2124 |     -13.4557 |     -77.7353 |
|       0.0368 |       0.2116 |     -13.4917 |     -77.7867 |
|       0.0369 |       0.2107 |     -13.5276 |     -77.8378 |
|       0.0371 |       0.2098 |     -13.5633 |     -77.8885 |
|       0.0372 |       0.2090 |     -13.5988 |     -77.9387 |
|       0.0374 |       0.2081 |     -13.6343 |     -77.9885 |
|       0.0376 |       0.2073 |     -13.6695 |     -78.0380 |
|       0.0377 |       0.2064 |     -13.7047 |     -78.0870 |
|       0.0379 |       0.2056 |     -13.7397 |     -78.1356 |
|       0.0380 |       0.2048 |     -13.7746 |     -78.1839 |
|       0.0382 |       0.2040 |     -13.8094 |     -78.2317 |
|       0.0384 |       0.2031 |     -13.8440 |     -78.2792 |
|       0.0385 |       0.2023 |     -13.8785 |     -78.3263 |
|       0.0387 |       0.2015 |     -13.9128 |     -78.3730 |
|       0.0388 |       0.2007 |     -13.9471 |     -78.4194 |
|       0.0390 |       0.2000 |     -13.9812 |     -78.4654 |
|       0.0392 |       0.1992 |     -14.0151 |     -78.5110 |
|       0.0393 |       0.1984 |     -14.0490 |     -78.5563 |
|       0.0395 |       0.1976 |     -14.0827 |     -78.6013 |
|       0.0396 |       0.1969 |     -14.1163 |     -78.6458 |
|       0.0398 |       0.1961 |     -14.1498 |     -78.6901 |
|       0.0399 |       0.1954 |     -14.1831 |     -78.7340 |
|       0.0401 |       0.1946 |     -14.2163 |     -78.7776 |
|       0.0403 |       0.1939 |     -14.2494 |     -78.8208 |
|       0.0404 |       0.1931 |     -14.2824 |     -78.8637 |
|       0.0406 |       0.1924 |     -14.3153 |     -78.9063 |
|       0.0407 |       0.1917 |     -14.3480 |     -78.9486 |
|       0.0409 |       0.1910 |     -14.3806 |     -78.9905 |
|       0.0411 |       0.1903 |     -14.4131 |     -79.0322 |
|       0.0412 |       0.1895 |     -14.4455 |     -79.0735 |
|       0.0414 |       0.1888 |     -14.4778 |     -79.1145 |
|       0.0415 |       0.1881 |     -14.5100 |     -79.1552 |
|       0.0417 |       0.1875 |     -14.5420 |     -79.1956 |
|       0.0419 |       0.1868 |     -14.5739 |     -79.2357 |
|       0.0420 |       0.1861 |     -14.6058 |     -79.2756 |
|       0.0422 |       0.1854 |     -14.6375 |     -79.3151 |
|       0.0423 |       0.1847 |     -14.6691 |     -79.3544 |
|       0.0425 |       0.1841 |     -14.7005 |     -79.3933 |
|       0.0427 |       0.1834 |     -14.7319 |     -79.4320 |
|       0.0428 |       0.1827 |     -14.7632 |     -79.4704 |
|       0.0430 |       0.1821 |     -14.7943 |     -79.5085 |
|       0.0431 |       0.1814 |     -14.8254 |     -79.5464 |
|       0.0433 |       0.1808 |     -14.8563 |     -79.5840 |
|       0.0434 |       0.1802 |     -14.8872 |     -79.6213 |
|       0.0436 |       0.1795 |     -14.9179 |     -79.6584 |
|       0.0438 |       0.1789 |     -14.9485 |     -79.6952 |
|       0.0439 |       0.1783 |     -14.9790 |     -79.7317 |
|       0.0441 |       0.1776 |     -15.0095 |     -79.7680 |
|       0.0442 |       0.1770 |     -15.0398 |     -79.8040 |
|       0.0444 |       0.1764 |     -15.0700 |     -79.8398 |
|       0.0446 |       0.1758 |     -15.1001 |     -79.8754 |
|       0.0447 |       0.1752 |     -15.1301 |     -79.9106 |
|       0.0449 |       0.1746 |     -15.1600 |     -79.9457 |
|       0.0450 |       0.1740 |     -15.1898 |     -79.9805 |
|       0.0452 |       0.1734 |     -15.2196 |     -80.0151 |
|       0.0454 |       0.1728 |     -15.2492 |     -80.0494 |
|       0.0455 |       0.1722 |     -15.2787 |     -80.0835 |
|       0.0457 |       0.1716 |     -15.3081 |     -80.1174 |
|       0.0458 |       0.1711 |     -15.3374 |     -80.1510 |
|       0.0460 |       0.1705 |     -15.3667 |     -80.1844 |
|       0.0462 |       0.1699 |     -15.3958 |     -80.2176 |
|       0.0463 |       0.1693 |     -15.4248 |     -80.2506 |
|       0.0465 |       0.1688 |     -15.4538 |     -80.2833 |
|       0.0466 |       0.1682 |     -15.4826 |     -80.3159 |
|       0.0468 |       0.1677 |     -15.5114 |     -80.3482 |
|       0.0470 |       0.1671 |     -15.5401 |     -80.3803 |
|       0.0471 |       0.1666 |     -15.5686 |     -80.4122 |
|       0.0473 |       0.1660 |     -15.5971 |     -80.4439 |
|       0.0474 |       0.1655 |     -15.6255 |     -80.4754 |
|       0.0476 |       0.1649 |     -15.6538 |     -80.5066 |
|       0.0477 |       0.1644 |     -15.6820 |     -80.5377 |
|       0.0479 |       0.1639 |     -15.7102 |     -80.5686 |
|       0.0481 |       0.1633 |     -15.7382 |     -80.5992 |
|       0.0482 |       0.1628 |     -15.7662 |     -80.6297 |
|       0.0484 |       0.1623 |     -15.7940 |     -80.6600 |
|       0.0485 |       0.1618 |     -15.8218 |     -80.6901 |
|       0.0487 |       0.1613 |     -15.8495 |     -80.7200 |
|       0.0489 |       0.1607 |     -15.8771 |     -80.7497 |
|       0.0490 |       0.1602 |     -15.9046 |     -80.7792 |
|       0.0492 |       0.1597 |     -15.9320 |     -80.8085 |
|       0.0493 |       0.1592 |     -15.9594 |     -80.8377 |
|       0.0495 |       0.1587 |     -15.9867 |     -80.8666 |
|       0.0497 |       0.1582 |     -16.0138 |     -80.8954 |
|       0.0498 |       0.1577 |     -16.0409 |     -80.9240 |
|       0.0500 |       0.1573 |     -16.0680 |     -80.9525 |
|       0.0501 |       0.1568 |     -16.0949 |     -80.9807 |
|       0.0503 |       0.1563 |     -16.1218 |     -81.0088 |
|       0.0505 |       0.1558 |     -16.1485 |     -81.0367 |
|       0.0506 |       0.1553 |     -16.1752 |     -81.0644 |
|       0.0508 |       0.1548 |     -16.2018 |     -81.0920 |
|       0.0509 |       0.1544 |     -16.2284 |     -81.1194 |
|       0.0511 |       0.1539 |     -16.2548 |     -81.1466 |
|       0.0512 |       0.1534 |     -16.2812 |     -81.1737 |
|       0.0514 |       0.1530 |     -16.3075 |     -81.2005 |
|       0.0516 |       0.1525 |     -16.3337 |     -81.2273 |
|       0.0517 |       0.1521 |     -16.3599 |     -81.2539 |
|       0.0519 |       0.1516 |     -16.3860 |     -81.2803 |
|       0.0520 |       0.1511 |     -16.4119 |     -81.3065 |
|       0.0522 |       0.1507 |     -16.4379 |     -81.3326 |
|       0.0524 |       0.1503 |     -16.4637 |     -81.3586 |
|       0.0525 |       0.1498 |     -16.4895 |     -81.3844 |
|       0.0527 |       0.1494 |     -16.5152 |     -81.4100 |
|       0.0528 |       0.1489 |     -16.5408 |     -81.4355 |
|       0.0530 |       0.1485 |     -16.5663 |     -81.4608 |
|       0.0532 |       0.1481 |     -16.5918 |     -81.4860 |
|       0.0533 |       0.1476 |     -16.6172 |     -81.5111 |
|       0.0535 |       0.1472 |     -16.6425 |     -81.5360 |
|       0.0536 |       0.1468 |     -16.6678 |     -81.5607 |
|       0.0538 |       0.1463 |     -16.6930 |     -81.5853 |
|       0.0540 |       0.1459 |     -16.7181 |     -81.6098 |
|       0.0541 |       0.1455 |     -16.7431 |     -81.6341 |
|       0.0543 |       0.1451 |     -16.7681 |     -81.6583 |
|       0.0544 |       0.1447 |     -16.7930 |     -81.6824 |
|       0.0546 |       0.1442 |     -16.8178 |     -81.7063 |
|       0.0547 |       0.1438 |     -16.8426 |     -81.7301 |
|       0.0549 |       0.1434 |     -16.8673 |     -81.7537 |
|       0.0551 |       0.1430 |     -16.8919 |     -81.7772 |
|       0.0552 |       0.1426 |     -16.9165 |     -81.8006 |
|       0.0554 |       0.1422 |     -16.9409 |     -81.8238 |
|       0.0555 |       0.1418 |     -16.9654 |     -81.8469 |
|       0.0557 |       0.1414 |     -16.9897 |     -81.8699 |
|       0.0559 |       0.1410 |     -17.0140 |     -81.8928 |
|       0.0560 |       0.1406 |     -17.0382 |     -81.9155 |
|       0.0562 |       0.1402 |     -17.0624 |     -81.9381 |
|       0.0563 |       0.1399 |     -17.0865 |     -81.9606 |
|       0.0565 |       0.1395 |     -17.1105 |     -81.9829 |
|       0.0567 |       0.1391 |     -17.1345 |     -82.0052 |
|       0.0568 |       0.1387 |     -17.1584 |     -82.0273 |
|       0.0570 |       0.1383 |     -17.1822 |     -82.0492 |
|       0.0571 |       0.1379 |     -17.2059 |     -82.0711 |
|       0.0573 |       0.1376 |     -17.2297 |     -82.0929 |
|       0.0575 |       0.1372 |     -17.2533 |     -82.1145 |
|       0.0576 |       0.1368 |     -17.2769 |     -82.1360 |
|       0.0578 |       0.1365 |     -17.3004 |     -82.1574 |
|       0.0579 |       0.1361 |     -17.3238 |     -82.1787 |
|       0.0581 |       0.1357 |     -17.3472 |     -82.1998 |
|       0.0583 |       0.1354 |     -17.3706 |     -82.2209 |
|       0.0584 |       0.1350 |     -17.3938 |     -82.2418 |
|       0.0586 |       0.1346 |     -17.4170 |     -82.2626 |
|       0.0587 |       0.1343 |     -17.4402 |     -82.2834 |
|       0.0589 |       0.1339 |     -17.4633 |     -82.3040 |
|       0.0590 |       0.1336 |     -17.4863 |     -82.3245 |
|       0.0592 |       0.1332 |     -17.5092 |     -82.3449 |
|       0.0594 |       0.1329 |     -17.5321 |     -82.3651 |
|       0.0595 |       0.1325 |     -17.5550 |     -82.3853 |
|       0.0597 |       0.1322 |     -17.5778 |     -82.4054 |
|       0.0598 |       0.1318 |     -17.6005 |     -82.4253 |
|       0.0600 |       0.1315 |     -17.6232 |     -82.4452 |
|       0.0602 |       0.1311 |     -17.6458 |     -82.4650 |
|       0.0603 |       0.1308 |     -17.6683 |     -82.4846 |
|       0.0605 |       0.1305 |     -17.6908 |     -82.5042 |
|       0.0606 |       0.1301 |     -17.7133 |     -82.5236 |
|       0.0608 |       0.1298 |     -17.7357 |     -82.5430 |
|       0.0610 |       0.1294 |     -17.7580 |     -82.5622 |
|       0.0611 |       0.1291 |     -17.7803 |     -82.5814 |
|       0.0613 |       0.1288 |     -17.8025 |     -82.6004 |
|       0.0614 |       0.1285 |     -17.8246 |     -82.6194 |
|       0.0616 |       0.1281 |     -17.8467 |     -82.6382 |
|       0.0618 |       0.1278 |     -17.8688 |     -82.6570 |
|       0.0619 |       0.1275 |     -17.8908 |     -82.6757 |
|       0.0621 |       0.1272 |     -17.9127 |     -82.6943 |
|       0.0622 |       0.1268 |     -17.9346 |     -82.7127 |
|       0.0624 |       0.1265 |     -17.9564 |     -82.7311 |
|       0.0625 |       0.1262 |     -17.9782 |     -82.7494 |
|       0.0627 |       0.1259 |     -17.9999 |     -82.7676 |
|       0.0629 |       0.1256 |     -18.0216 |     -82.7858 |
|       0.0630 |       0.1253 |     -18.0432 |     -82.8038 |
|       0.0632 |       0.1250 |     -18.0648 |     -82.8217 |
|       0.0633 |       0.1246 |     -18.0863 |     -82.8396 |
|       0.0635 |       0.1243 |     -18.1077 |     -82.8573 |
|       0.0637 |       0.1240 |     -18.1292 |     -82.8750 |
|       0.0638 |       0.1237 |     -18.1505 |     -82.8926 |
|       0.0640 |       0.1234 |     -18.1718 |     -82.9101 |
|       0.0641 |       0.1231 |     -18.1931 |     -82.9275 |
|       0.0643 |       0.1228 |     -18.2143 |     -82.9448 |
|       0.0645 |       0.1225 |     -18.2354 |     -82.9621 |
|       0.0646 |       0.1222 |     -18.2565 |     -82.9792 |
|       0.0648 |       0.1219 |     -18.2776 |     -82.9963 |
|       0.0649 |       0.1216 |     -18.2986 |     -83.0133 |
|       0.0651 |       0.1213 |     -18.3195 |     -83.0302 |
|       0.0653 |       0.1211 |     -18.3404 |     -83.0471 |
|       0.0654 |       0.1208 |     -18.3613 |     -83.0638 |
|       0.0656 |       0.1205 |     -18.3821 |     -83.0805 |
|       0.0657 |       0.1202 |     -18.4028 |     -83.0971 |
|       0.0659 |       0.1199 |     -18.4235 |     -83.1136 |
|       0.0660 |       0.1196 |     -18.4442 |     -83.1300 |
|       0.0662 |       0.1193 |     -18.4648 |     -83.1464 |
|       0.0664 |       0.1191 |     -18.4853 |     -83.1627 |
|       0.0665 |       0.1188 |     -18.5058 |     -83.1789 |
|       0.0667 |       0.1185 |     -18.5263 |     -83.1950 |
|       0.0668 |       0.1182 |     -18.5467 |     -83.2110 |
|       0.0670 |       0.1179 |     -18.5671 |     -83.2270 |
|       0.0672 |       0.1177 |     -18.5874 |     -83.2429 |
|       0.0673 |       0.1174 |     -18.6077 |     -83.2587 |
